subject,Language,Presentation_type,object to be labeled,label,color,other_adj,same_noun,presentation_order
12,English,1 at a time,green apple,apple,N,N,Y,2
12,English,1 at a time,yellow comb,comb,N,N,Y,1
12,English,1 at a time,pink comb,comb,N,N,Y,2
12,English,1 at a time,green pepper,pepper,N,N,Y,1
12,English,1 at a time,red pepper,pepper,N,N,Y,2
12,English,1 at a time,red cup,cup,N,N,Y,1
12,English,1 at a time,blue cup,cup,N,N,Y,2
14,English,1 at a time,red tomato,Tomato,N,N,Y,1
14,English,1 at a time,yellow tomato,Tomato,N,N,Y,2
14,English,1 at a time,red rope,Rope,N,N,Y,1
14,English,1 at a time,yellow rope,Rope,N,N,Y,2
14,English,1 at a time,green banana,Banana,N,N,Y,1
14,English,1 at a time,yellow banana,Banana,N,N,Y,2
14,English,1 at a time,red basket,Basket,N,N,Y,1
14,English,1 at a time,blue basket,Basket,N,N,Y,2
14,English,1 at a time,red apple,Apple,N,N,Y,1
14,English,1 at a time,green apple,Apple,N,N,Y,2
14,English,1 at a time,yellow comb,Comb,N,N,Y,1
14,English,1 at a time,pink comb,Comb,N,N,Y,2
14,English,1 at a time,green pepper,Pepper,N,N,Y,1
14,English,1 at a time,red pepper,Pepper,N,N,Y,2
14,English,1 at a time,red cup,Cup,N,N,Y,1
14,English,1 at a time,blue cup,Cup,N,N,Y,2
16,English,1 at a time,red tomato,tomato,N,N,Y,1
16,English,1 at a time,yellow tomato,yellow tomato,Y,N,Y,2
16,English,1 at a time,red rope,red piece of rope,Y,N,Y,1
16,English,1 at a time,yellow rope,yellow piece of rope,Y,N,Y,2
16,English,1 at a time,green banana,plantain,N,N,N,1
16,English,1 at a time,yellow banana,banana,N,N,N,2
16,English,1 at a time,red basket,little red basket,Y,Y,Y,1
16,English,1 at a time,blue basket,little blue basket,Y,Y,Y,2
16,English,1 at a time,red apple,red apple,Y,N,Y,1
16,English,1 at a time,green apple,green apple,Y,N,Y,2
16,English,1 at a time,yellow comb,green comb,Y,N,Y,1
16,English,1 at a time,pink comb,pink comb,Y,N,Y,2
16,English,1 at a time,red cup,red cup,Y,N,Y,1
16,English,1 at a time,blue cup,blue cup,Y,N,Y,2
20,English,1 at a time,red tomato,Tomato,N,N,Y,1
20,English,1 at a time,yellow tomato,Tomato,N,N,Y,2
20,English,1 at a time,red rope,Twisted Rope thingy,N,Y,Y,1
20,English,1 at a time,yellow rope,Red twisted Rope?,Y,Y,Y,2
20,English,1 at a time,green banana,Green and black banana,Y,N,Y,1
20,English,1 at a time,yellow banana,Yellow and black banana,Y,N,Y,2
20,English,1 at a time,red basket,little cute red basket plastic basket,Y,Y,Y,1
20,English,1 at a time,blue basket,blue turquoise blue basket thingy,Y,Y,Y,2
20,English,1 at a time,red apple,Healthy red apple,Y,Y,Y,1
20,English,1 at a time,green apple,"green apple, granny smith apple",Y,Y,Y,2
20,English,1 at a time,yellow comb,Highlight yellow comb,Y,N,Y,1
20,English,1 at a time,pink comb,Pink double sided rectangular comb,Y,Y,Y,2
20,English,1 at a time,red cup,Red small empty cup,Y,Y,Y,1
20,English,1 at a time,blue cup,Blue small empty cup,Y,Y,Y,2
22,English,1 at a time,red tomato,tomato,N,N,Y,1
22,English,1 at a time,yellow tomato,Orange tomato,Y,N,Y,2
22,English,1 at a time,red rope,Red Rope,Y,N,Y,1
22,English,1 at a time,yellow rope,yellow rope,Y,N,Y,2
22,English,1 at a time,green banana,plantain,N,N,N,1
22,English,1 at a time,yellow banana,banana,N,N,N,2
22,English,1 at a time,red basket,Little red toy basket,Y,Y,Y,1
22,English,1 at a time,blue basket,little blue toy basket,Y,Y,Y,2
22,English,1 at a time,red apple,galla apple?,N,Y,Y,1
22,English,1 at a time,green apple,Granny smith apple,N,Y,Y,2
22,English,1 at a time,yellow comb,Highlighter yellow pocket comb,Y,Y,Y,1
22,English,1 at a time,pink comb,Highlighter pink pocket comb,Y,Y,Y,2
22,English,1 at a time,red cup,Red cup,Y,N,Y,1
22,English,1 at a time,blue cup,Blue cup,Y,N,Y,2
24,English,1 at a time,red tomato,tomato,N,N,Y,1
24,English,1 at a time,yellow tomato,tomato,N,N,Y,2
24,English,1 at a time,red rope,rope,N,N,Y,1
24,English,1 at a time,yellow rope,rope,N,N,Y,2
24,English,1 at a time,green banana,plantain,N,N,N,1
24,English,1 at a time,yellow banana,banana,N,N,N,2
24,English,1 at a time,red basket,Basket,N,N,Y,1
24,English,1 at a time,blue basket,Basket,N,N,Y,2
24,English,1 at a time,red apple,apple,N,N,Y,1
24,English,1 at a time,green apple,apple,N,N,Y,2
24,English,1 at a time,yellow comb,comb,N,N,Y,1
24,English,1 at a time,pink comb,comb,N,N,Y,2
24,English,1 at a time,green pepper,bell pepper,N,N,Y,1
24,English,1 at a time,red pepper,bell pepper,N,N,Y,2
24,English,1 at a time,red cup,cup,N,N,Y,1
24,English,1 at a time,blue cup,cup,N,N,Y,2
26,English,1 at a time,red tomato,tomato,N,N,Y,1
26,English,1 at a time,yellow tomato,yellow tomato,Y,N,Y,2
26,English,1 at a time,red rope,red rope,Y,N,Y,1
26,English,1 at a time,yellow rope,yellow rope,Y,N,Y,2
26,English,1 at a time,green banana,green banana,Y,N,Y,1
26,English,1 at a time,yellow banana,ripe yellow banana,Y,Y,Y,2
26,English,1 at a time,red basket,red basket,Y,N,Y,1
26,English,1 at a time,blue basket,blue basket,Y,N,Y,2
26,English,1 at a time,red apple,apple,N,N,Y,1
26,English,1 at a time,green apple,green apple,Y,N,Y,2
26,English,1 at a time,yellow comb,yellow comb,Y,N,Y,1
26,English,1 at a time,pink comb,pink comb,Y,N,Y,2
26,English,1 at a time,green pepper,green pepper,Y,N,Y,1
26,English,1 at a time,red pepper,red pepper,Y,N,Y,2
26,English,1 at a time,red cup,red cup,Y,N,Y,1
26,English,1 at a time,blue cup,blue cup,Y,N,Y,2
28,English,1 at a time,red tomato,TOMATO,N,N,Y,1
28,English,1 at a time,yellow tomato,tomato,N,N,Y,2
28,English,1 at a time,red rope,rope,N,N,Y,1
28,English,1 at a time,yellow rope,rope,N,N,Y,2
28,English,1 at a time,green banana,banana,N,N,Y,1
28,English,1 at a time,yellow banana,banana,N,N,Y,2
28,English,1 at a time,red basket,basket,N,N,Y,1
28,English,1 at a time,blue basket,basket,N,N,Y,2
28,English,1 at a time,red apple,apple,N,N,Y,1
28,English,1 at a time,green apple,apple,N,N,Y,2
28,English,1 at a time,yellow comb,no idea,N,N,Y,1
28,English,1 at a time,pink comb,no idea,N,N,Y,2
28,English,1 at a time,green pepper,pepper,N,N,Y,1
28,English,1 at a time,red pepper,pepper,N,N,Y,2
28,English,1 at a time,red cup,cup,N,N,Y,1
28,English,1 at a time,blue cup,cup,N,N,Y,2
30,English,1 at a time,red tomato,tomato,N,N,Y,1
30,English,1 at a time,yellow tomato,same in yellow,Y,N,Y,2
30,English,1 at a time,red rope,rope,N,N,Y,1
30,English,1 at a time,yellow rope,yellow rope,Y,N,Y,2
30,English,1 at a time,red basket,small red color suit case?,Y,Y,Y,1
30,English,1 at a time,blue basket,blue color suit case,Y,N,Y,2
30,English,1 at a time,red apple,red apple,Y,N,Y,1
30,English,1 at a time,green apple,green apple,Y,N,Y,2
30,English,1 at a time,yellow comb,small comb,N,Y,Y,1
30,English,1 at a time,pink comb,pink color comb,Y,N,Y,2
30,English,1 at a time,green pepper,green pepper,Y,N,Y,1
30,English,1 at a time,red pepper,red capsico,Y,N,Y,2
30,English,1 at a time,red cup,red color plastic glass,Y,Y,Y,1
30,English,1 at a time,blue cup,blue color plastic glass,Y,Y,Y,2
32,English,1 at a time,red tomato,tomato,N,N,N,1
32,English,1 at a time,yellow tomato,fruit,N,N,N,2
32,English,1 at a time,red rope,string,N,N,Y,1
32,English,1 at a time,yellow rope,yellow string,Y,N,Y,2
32,English,1 at a time,green banana,banana,N,N,Y,1
32,English,1 at a time,yellow banana,yellow banana,Y,N,Y,2
32,English,1 at a time,red basket,small basket,N,Y,Y,1
32,English,1 at a time,blue basket,small blue basket,Y,Y,Y,2
32,English,1 at a time,red apple,apple,N,N,Y,1
32,English,1 at a time,green apple,green apple,Y,N,Y,2
32,English,1 at a time,yellow comb,comb,N,N,Y,1
32,English,1 at a time,pink comb,pink comb,Y,N,Y,2
32,English,1 at a time,green pepper,pepper,N,N,Y,1
32,English,1 at a time,red pepper,red pepper,Y,N,Y,2
32,English,1 at a time,red cup,cup,N,N,Y,1
32,English,1 at a time,blue cup,blue cup,Y,N,Y,2
