subject,Language,thing,color,
16,Spanish,focal celeste,G15,
17,Spanish,cloud,7,
17,Spanish,dirt,10,
17,Spanish,grass / leaf,5,
17,Spanish,hair,1,
17,Spanish,teeth,2,
17,Spanish,rice,2,
17,Spanish,unripe bananas,5,
17,Spanish,ripe banana,6,
17,Spanish,sky,4,
17,Spanish,corn,9,
17,Spanish,yuca (inside),2,
17,Spanish,yuca (outside),10,
17,Spanish,blood,3,
17,Spanish,fire,6,
17,Spanish,carrot,9,
17,Spanish,tomato,3,
17,Spanish,focal red,F1,
17,Spanish,focal blue,G15,
17,Spanish,focal green,E8,
17,Spanish,focal yellow,B6,
17,Spanish,focal grey,,
17,Spanish,focal purple / violet,G16,
17,Spanish,focal orange,D2,
17,Spanish,focal brown,F3,
17,Spanish,focal pink,D20,
17,Spanish,focal celeste,E14,
18,Spanish,cloud,2,
18,Spanish,dirt,10,
18,Spanish,grass / leaf,5,
18,Spanish,hair,1,
18,Spanish,teeth,2,
18,Spanish,rice,2,
18,Spanish,unripe bananas,5,
18,Spanish,ripe banana,6,
18,Spanish,sky,4,
18,Spanish,corn,2,
18,Spanish,yuca (inside),2,
18,Spanish,yuca (outside),10,
18,Spanish,blood,3,
18,Spanish,fire,6,
18,Spanish,carrot,9,
18,Spanish,tomato,3,
18,Spanish,focal red,F1,
18,Spanish,focal blue,H15,
18,Spanish,focal green,H9,
18,Spanish,focal yellow,B6,
18,Spanish,focal grey,,
18,Spanish,focal purple / violet,H16,
18,Spanish,focal orange,D3,
18,Spanish,focal brown,H3,
18,Spanish,focal pink,E1,
18,Spanish,focal celeste,E13,
19,Spanish,cloud,2,
19,Spanish,dirt,10,
19,Spanish,grass / leaf,5,
19,Spanish,hair,1,
19,Spanish,teeth,2,
19,Spanish,rice,2,
19,Spanish,unripe bananas,5,
19,Spanish,ripe banana,6,
19,Spanish,sky,4,
19,Spanish,corn,2,
19,Spanish,yuca (inside),2,
19,Spanish,yuca (outside),10,
19,Spanish,blood,3,
19,Spanish,fire,6,
19,Spanish,carrot,9,
19,Spanish,tomato,3,
19,Spanish,focal red,F1,
19,Spanish,focal blue,H15,
19,Spanish,focal green,H9,
19,Spanish,focal yellow,B6,
19,Spanish,focal grey,,
19,Spanish,focal purple / violet,H16,
19,Spanish,focal orange,E2,
19,Spanish,focal brown,H3,
19,Spanish,focal pink,F20,
19,Spanish,focal celeste,F15,
20,Spanish,cloud,7,
20,Spanish,dirt,10,
20,Spanish,grass / leaf,5,
20,Spanish,hair,1,
20,Spanish,teeth,2,
20,Spanish,rice,2,
20,Spanish,unripe bananas,5,
20,Spanish,ripe banana,6,
20,Spanish,sky,12,
20,Spanish,corn,6,
20,Spanish,yuca (inside),2,
20,Spanish,yuca (outside),10,
20,Spanish,blood,3,
20,Spanish,fire,9,
20,Spanish,carrot,9,
20,Spanish,tomato,3,
20,Spanish,focal red,F1,
20,Spanish,focal blue,H15,
20,Spanish,focal green,H10,
20,Spanish,focal yellow,B6,
20,Spanish,focal grey,,
20,Spanish,focal purple / violet,H16,
20,Spanish,focal orange,E2,
20,Spanish,focal brown,H3,
20,Spanish,focal pink,D19,
20,Spanish,focal celeste,C13,
21,Spanish,cloud,12,
21,Spanish,dirt,10,
21,Spanish,grass / leaf,5,
21,Spanish,hair,1,
21,Spanish,teeth,2,
21,Spanish,rice,2,
21,Spanish,unripe bananas,6,
21,Spanish,ripe banana,6,
21,Spanish,sky,12,
21,Spanish,corn,2,
21,Spanish,yuca (inside),2,
21,Spanish,yuca (outside),10,
21,Spanish,blood,3,
21,Spanish,fire,9,
21,Spanish,carrot,9,
21,Spanish,tomato,3,
21,Spanish,focal red,F1,
21,Spanish,focal blue,H15,
21,Spanish,focal green,H10,
21,Spanish,focal yellow,C6,
21,Spanish,focal grey,,
21,Spanish,focal purple / violet,H16,
21,Spanish,focal orange,E2,
21,Spanish,focal brown,H2,
21,Spanish,focal pink,F20,
21,Spanish,focal celeste,E14,
22,Spanish,cloud,12,
22,Spanish,dirt,10,
22,Spanish,grass / leaf,5,
22,Spanish,hair,1,
22,Spanish,teeth,2,
22,Spanish,rice,2,
22,Spanish,unripe bananas,5,
22,Spanish,ripe banana,6,
22,Spanish,sky,2,
22,Spanish,corn,6,
22,Spanish,yuca (inside),2,
22,Spanish,yuca (outside),10,
22,Spanish,blood,3,
22,Spanish,fire,9,
22,Spanish,carrot,9,
22,Spanish,tomato,3,
22,Spanish,focal red,F1,
22,Spanish,focal blue,H15,
22,Spanish,focal green,H9,
22,Spanish,focal yellow,B4,
22,Spanish,focal grey,,
22,Spanish,focal purple / violet,G17,
22,Spanish,focal orange,E2,
22,Spanish,focal brown,G3,
22,Spanish,focal pink,E20,
22,Spanish,focal celeste,E15,
23,Spanish,cloud,2,HERE
23,Spanish,dirt,10,
23,Spanish,grass / leaf,5,
23,Spanish,hair,1,
23,Spanish,teeth,2,
23,Spanish,rice,2,
23,Spanish,unripe bananas,5,
23,Spanish,ripe banana,6,
23,Spanish,sky,4,
23,Spanish,corn,6,
23,Spanish,yuca (inside),2,
23,Spanish,yuca (outside),10,
23,Spanish,blood,3,
23,Spanish,fire,6,
23,Spanish,carrot,11,
23,Spanish,tomato,3,
23,Spanish,focal red,F1,
23,Spanish,focal blue,H16,
23,Spanish,focal green,H9,
23,Spanish,focal yellow,B5,
23,Spanish,focal grey,,
23,Spanish,focal purple / violet,H17,
23,Spanish,focal orange,E2,
23,Spanish,focal brown,H3,
23,Spanish,focal pink,C1,
23,Spanish,focal celeste,C14,
24,Spanish,cloud,2,
24,Spanish,dirt,10,
24,Spanish,grass / leaf,5,
24,Spanish,hair,1,
24,Spanish,teeth,2,
24,Spanish,rice,2,
24,Spanish,unripe bananas,5,
24,Spanish,ripe banana,6,
24,Spanish,sky,12,
24,Spanish,corn,2,
24,Spanish,yuca (inside),2,
24,Spanish,yuca (outside),10,
24,Spanish,blood,3,
24,Spanish,fire,6,
24,Spanish,carrot,9,
24,Spanish,tomato,3,
24,Spanish,focal red,F1,
24,Spanish,focal blue,H15,
24,Spanish,focal green,H9,
24,Spanish,focal yellow,B5,
24,Spanish,focal grey,,
24,Spanish,focal purple / violet,H16,
24,Spanish,focal orange,E2,
24,Spanish,focal brown,G3,
24,Spanish,focal pink,C1,
24,Spanish,focal celeste,E14,
25,Spanish,cloud,12,
25,Spanish,dirt,10,
25,Spanish,grass / leaf,5,
25,Spanish,hair,1,
25,Spanish,teeth,2,
25,Spanish,rice,2,
25,Spanish,unripe bananas,5,
25,Spanish,ripe banana,6,
25,Spanish,sky,12,
25,Spanish,corn,2,
25,Spanish,yuca (inside),2,
25,Spanish,yuca (outside),10,
25,Spanish,blood,3,
25,Spanish,fire,6,
25,Spanish,carrot,9,
25,Spanish,tomato,3,
25,Spanish,focal red,F1,
25,Spanish,focal blue,G15,
25,Spanish,focal green,G11,
25,Spanish,focal yellow,C6,
25,Spanish,focal grey,,
25,Spanish,focal purple / violet,G18,
25,Spanish,focal orange,D3,
25,Spanish,focal brown,F3,
25,Spanish,focal pink,F20,
25,Spanish,focal celeste,F14,
31,Spanish,cloud,12,
31,Spanish,dirt,10,
31,Spanish,grass / leaf,5,
31,Spanish,hair,1,
31,Spanish,teeth,2,
31,Spanish,rice,2,
31,Spanish,unripe bananas,6,
31,Spanish,ripe banana,6,
31,Spanish,sky,4,
31,Spanish,corn,2,
31,Spanish,yuca (inside),2,
31,Spanish,yuca (outside),10,
31,Spanish,blood,3,
31,Spanish,fire,3,
31,Spanish,carrot,9,
31,Spanish,tomato,3,
31,Spanish,focal red,F1,
31,Spanish,focal blue,G15,
31,Spanish,focal green,H9,
31,Spanish,focal yellow,B6,
31,Spanish,focal grey,,
31,Spanish,focal purple / violet,H17,
31,Spanish,focal orange,E2,
31,Spanish,focal brown,H3,
31,Spanish,focal pink,B2,
31,Spanish,focal celeste,E15,
32,Spanish,cloud,2,
32,Spanish,dirt,10,
32,Spanish,grass / leaf,5,
32,Spanish,hair,1,
32,Spanish,teeth,2,
32,Spanish,rice,2,
32,Spanish,unripe bananas,5,
32,Spanish,ripe banana,6,
32,Spanish,sky,4,
32,Spanish,corn,2,
32,Spanish,yuca (inside),2,
32,Spanish,yuca (outside),10,
32,Spanish,blood,3,
32,Spanish,fire,6,
32,Spanish,carrot,9,
32,Spanish,tomato,3,
32,Spanish,focal red,F1,
32,Spanish,focal blue,G15,
32,Spanish,focal green,G10,
32,Spanish,focal yellow,C5,
32,Spanish,focal grey,,
32,Spanish,focal purple / violet,H16,
32,Spanish,focal orange,E2,
32,Spanish,focal brown,H5,
32,Spanish,focal pink,D19,
32,Spanish,focal celeste,C15,
33,Spanish,cloud,12,
33,Spanish,dirt,6,
33,Spanish,grass / leaf,5,
33,Spanish,hair,1,
33,Spanish,teeth,2,
33,Spanish,rice,2,
33,Spanish,unripe bananas,5,
33,Spanish,ripe banana,6,
33,Spanish,sky,4,
33,Spanish,corn,2,
33,Spanish,yuca (inside),2,
33,Spanish,yuca (outside),10,
33,Spanish,blood,3,
33,Spanish,fire,9,
33,Spanish,carrot,9,
33,Spanish,tomato,3,
33,Spanish,focal red,F1,
33,Spanish,focal blue,F15,
33,Spanish,focal green,H9,
33,Spanish,focal yellow,B6,
33,Spanish,focal grey,,
33,Spanish,focal purple / violet,F17,
33,Spanish,focal orange,E2,
33,Spanish,focal brown,H2,
33,Spanish,focal pink,C1,
33,Spanish,focal celeste,C15,
34,Spanish,cloud,17,
