subject,order,color_object label,response,Isabel Time,Rashida Time
1814,1,rock,mij,2.12,2.24
1814,1,B13,5,11.39,11.22
1814,2,G4,10,2.65,2.4
1814,3,A16,2,1.98,1.46
1814,4,B1,pacnas,10.06,91.5
1814,5,F1,3,1.92,1.06
1814,6,F17,8,1.66,2.21
1814,7,D5,pacnas,27.77,35.98
1814,8,F13,4,6.59,6.18
1814,9,H7,1,2.20,2.08
1814,10,G14,4,6.40,6.23
1814,11,F9,5,1.71,1.52
1814,12,F5,10,4.14,3.64
1814,13,H17,8,3.38,3.56
1814,14,H9,5,3.71,3.48
1814,15,B4,pacnas,2.25,2.23
1815,1,banana,pe're,3.51,3.4
1815,3,tomato,tomati,1.27,1.01
1815,5,cup,tasa,1.89,1.4
1815,4,comb,petsi,1.55,1.38
1815,6,leaf,shan,2.23,1.83
1815,7,fan,fijfity,1.26,0.83
1815,8,stick,shiru',2.01,1.4
1815,2,rock,mij,2.00,1.51
1815,1,D5,4,5.16,5.1
1815,2,F13,5,14.34,17.33
1815,3,A16,2,1.24,1.1
1815,4,H7,1,2.64,1.36
1815,5,B1,10,2.96,2.84
1815,6,F1,3,1.61,1.3
1815,7,G14,5,3.36,2.35
1815,8,F9,5,1.62,1.56
1815,9,F5,7,3.29,3.26
1815,10,F17,4,45.18,48.95
1815,11,H17,8,19.89,20.03
1815,12,H9,5,1.82,1.54
1815,13,B4,10,31.23,35.1
1815,14,B13,4,5.05,4.51
1815,15,G4,10,1.41,1.6
1816,1,banana,pe're,0.84,0.6
1816,4,tomato,tomati,2.19,1.81
1816,3,cup,vaso,1.10,0.51
1816,5,comb,petsi,0.90,0.52
1816,8,leaf,paya,4.30,4.08
1816,6,fan,fijfity,1.53,1.1
1816,7,stick,shiru',2.28,2.03
1816,2,rock,mij,1.16,0.68
1816,1,F13,5,2.15,1.75
1816,2,A16,2,1.02,0.83
1816,3,H7,1,2.28,1.4
1816,4,B1,9,5.46,5.14
1816,5,F1,3,1.61,1.15
1816,6,G14,4,3.46,3.1
1816,7,F9,5,1.82,1.3
1816,8,F5,9,2.50,2.14
1816,9,F17,4,20.47,32.1
1816,10,H9,5,1.85,1.45
1816,11,B4,12,1.98,1.7
1816,12,B13,12,5.47,5.78
1816,13,G4,1,2.95,3.01
1816,14,H17,1,6.43,5.54
1816,15,D5,9,2.30,2.19
1817,4,banana,pe're,1.10,0.91
1817,8,tomato,tomati,1.59,1.25
1817,5,cup,vaso,1.72,1.55
1817,6,comb,petsi,1.16,0.95
1817,2,leaf,shan,1.39,1.2
1817,1,fan,fijfity,1.15,0.95
1817,3,stick,shiru',1.56,0.88
1817,7,rock,mij,1.66,1.16
1817,1,G4,10,6.61,5.65
1817,2,G14,7,2.81,4.18
1817,3,F1,3,1.48,1.51
1817,4,F5,4,4.29,3.98
1817,5,F17,8,3.11,2.86
1817,6,H9,5,2.44,2.75
1817,7,B4,12,0.75,0.83
1817,8,F9,5,1.47,1.1
1817,9,B13,7,1.58,1.75
1817,10,H17,8,1.69,1.27
1817,11,D5,12,3.05,2.71
1817,12,F13,4,2.40,2.08
1817,13,A16,2,1.66,1.55
1817,14,H7,1,8.03,7.81
1817,15,B1,3,12.58,10.63
1818,1,banana,pe're,1.60,0.84
1818,2,tomato,tomati,1.41,1.24
1818,4,cup,vaso,0.88,0.65
1818,5,comb,petsi,0.94,0.6
1818,6,leaf,shan,1.08,0.59
1818,7,fan,fijfity,0.88,0.64
1818,8,stick,shiru',1.29,0.95
1818,3,rock,mij,1.12,0.73
1818,1,B4,5,1.40,1.05
1818,2,F9,5,2.41,11.34
1818,3,B13,7,37.62,37.71
1818,4,G14,5,13.59,13.66
1818,5,H17,10,53.23,53.31
1818,6,F1,3,3.99,3.86
1818,7,F5,12,9.34,8.95
1818,8,F17,4,25.71,25.94
1818,9,H9,5,5.99,5.36
1818,10,D5,2,16.94,17.58
1818,11,F13,4,15.26,15.21
1818,12,A16,2,0.78,0.84
1818,13,H7,1,2.12,1.9
1818,14,B1,2,3.68,3.7
1818,15,G4,5,3.19,3.8
1819,1,banana,pe're,3.68,3.25
1819,5,tomato,tomati,1.55,1.52
1819,4,cup,vaso,1.50,1.4
1819,3,comb,petsi,1.23,0.71
1819,6,leaf,shan,2.45,0.97
1819,7,fan,fijfity,1.24,0.83
1819,8,stick,shIru',1.79,1.43
1819,2,rock,mij,1.43,1.11
1819,1,G4,5,17.30,15.95
1819,2,B4,12,2.20,1.63
1819,3,F9,5,2.23,1.75
1819,4,B13,12,2.37,2.38
1819,5,G14,5,6.25,6.98
1819,6,H17,8,2.45,2.51
1819,7,F1,3,1.16,1.14
1819,8,F5,12,9.15,10.15
1819,9,F17,12,9.66,9.51
1819,10,H9,5,1.64,1.78
1819,11,D5,12,1.77,1.5
1819,12,F13,12,2.39,2.21
1819,13,A16,2,1.08,1.01
1819,14,H7,1,2.71,2.1
1819,15,B1,12,1.87,1.78
1820,1,banana,pe're,2.12,1.97
1820,2,tomato,tomati,1.23,0.91
1820,4,cup,vaso,1.65,1.31
1820,5,comb,petsi,1.18,0.81
1820,6,leaf,paya,2.48,1.95
1820,7,fan,fijfity,1.56,0.98
1820,8,stick,shiru',2.01,1.55
1820,3,rock,mij,1.79,1.28
1820,1,H7,1,1.47,1.5
1820,2,G14,4,13.69,13.37
1820,3,H17,6,1.04,0.91
1820,4,F1,3,1.34,0.84
1820,5,F5,1,4.44,4.3
1820,6,F17,4,7.35,7.4
1820,7,H9,5,1.90,1.62
1820,8,D5,pacnas,1.31,1.05
1820,9,F13,4,6.47,6.15
1820,10,A16,2,0.73,0.8
1820,11,B1,6,16.55,15.62
1820,12,G4,10,2.53,2.44
1820,13,B4,12,3.49,3.45
1820,14,F9,4,4.98,3.26
1820,15,B13,4,10.88,10.65
1821,1,banana,pe're,0.88,0.75
1821,4,tomato,tomati,1.90,1.45
1821,2,cup,tasa,1.63,1.21
1821,5,comb,petsi,0.83,1.43
1821,8,leaf,paya,1.68,1.36
1821,6,fan,fijfity,1.00,0.68
1821,7,stick,shIru',2.36,1.9
1821,3,rock,mij,1.58,0.96
1821,1,H17,8,1.68,1.64
1821,2,F1,3,2.89,2.57
1821,3,F5,ifo,2.35,1.98
1821,4,F17,8,12.70,24.14
1821,5,H9,5,3.85,3.53
1821,6,D5,pacnas,5.70,5.54
1821,7,F13,4,9.12,9.05
1821,8,A16,2,1.13,0.81
1821,9,B1,3,49.43,48.77
1821,10,G4,6,17.82,18.25
1821,11,B4,pacnas,2.45,2.05
1821,12,F9,5,2.28,1.56
1821,13,B13,4,26.78,26.75
1821,14,H7,1,9.81,9.7
1821,15,G14,5,31.84,31.61
1822,2,banana,pe're,1.66,1.45
1822,1,tomato,tomati,2.75,2.48
1822,3,cup,vaso,1.05,0.81
1822,4,comb,petsi,0.94,0.55
1822,7,leaf,shan,1.77,1.3
1822,6,fan,fijfity,1.13,0.86
1822,8,stick,shuru',1.92,1.48
1822,5,rock,mij,0.97,0.68
1822,1,F13,5,6.79,2.85
1822,2,A16,2,1.29,0.95
1822,3,B1,4,2.17,1.9
1822,4,G4,jincas,2.41,1.94
1822,5,B4,9,1.76,1.4
1822,6,F9,9,1.21,1
1822,7,B13,4,2.81,2.65
1822,8,H7,1,2.87,2.55
1822,9,G14,5,1.91,1.44
1822,10,H17,ifo,2.60,2.5
1822,11,F1,3,1.00,0.75
1822,12,F5,4,5.83,5.51
1822,13,F17,4,4.13,4.11
1822,14,H9,1,15.41,16.95
1822,15,D5,4,2.77,2.52
1823,3,banana,pe're,1.64,1.57
1823,1,tomato,tomati,2.06,1.82
