subject,order,color_object label,response,Rashida Time,Isabel Time,Native_speaker,
2012,4,H7,1,1.6,2.09,Y,
2012,5,F1,3,1.9,1.82,Y,
2012,6,B4,6,1.8,1.34,Y,
2012,7,F17,8,3.5,3.44,Y,
2012,8,F5,omni 5,7.37,7.40,Y,
2012,9,A16,barity 2,3.7,3.81,Y,
2012,10,H17,dark 8,3.34,1.98,Y,
2012,11,G14,turquoise,14.67,14.24,Y,
2012,12,F9,5,1.7,1.16,Y,
2012,13,H9,military 5,11.43,10.64,Y,
2012,14,D5,mustard,3.48,3.42,Y,
2012,15,B1,11,1.57,2.55,Y,
2013,1,cup,cup,0.6,0.68,Y,
2013,2,rock,rock,0.55,0.73,Y,
2013,3,leaf,leaf,0.35,0.6,Y,
2013,4,stick,bamboo,4.7,4.75,Y,
2013,5,fan,fan,0.9,1.12,Y,
2013,6,tomato,tomato,0.4,0.79,Y,
2013,7,banana,banana,0.2,0.3,Y,
2013,8,comb,comb,2,2.24,Y,
2013,1,B4,6,0.9,0.92,Y,
2013,2,G4,10,1.3,1.2,Y,
2013,3,H9,5,1.6,1.77,Y,
2013,4,F5,gold,1.91,1.55,Y,
2013,5,B13,ligh 4,1.3,1.66,Y,
2013,6,H7,dark forest5,2.4,1.68,Y,
2013,7,B1,11,0.8,1.2,Y,
2013,8,A16,2,1,0.78,Y,
2013,9,F13,aqua,1.15,1.65,Y,
2013,10,G14,royal 4,2,2.38,Y,
2013,11,F9,5,0.85,1.26,Y,
2013,12,F1,3,0.78,0.65,Y,
2013,13,D5,dark 6,2.3,1.87,Y,
2013,14,F17,8,0.9,1.2,Y,
2013,15,H17,dark 8,2.42,2.74,Y,
2014,1,rock,rock,2.5,2.99,Y,
2014,2,banana,banana,2.79,2.87,Y,
2014,3,cup,cup,3.25,3.45,Y,
2014,4,leaf,leaf,2.57,2.81,Y,
2014,5,tomato,tomato,3.27,2.9,Y,
2014,6,fan,fan,3,3.52,Y,
2014,7,stick,stik,3.7,3.5,Y,
2014,8,comb,pnk comb,2.2,2.44,Y,
2014,1,B4,6,1.41,0.91,Y,
2014,2,F1,3,3.8,3.76,Y,
2014,3,F13,teal,3.2,3.1,Y,
2014,4,F17,8,1.9,2.1,Y,
2014,5,G14,4,2.09,2.53,Y,
2014,6,F5,5,4.18,4.26,Y,
2014,7,G4,10,2.16,1.53,Y,
2014,8,F9,5,1.26,1.37,Y,
2014,9,H7,1,1.9,2.4,Y,
2014,10,H9,dark 5,1.02,1.08,Y,
2014,11,H17,8,1.77,1.53,Y,
2014,12,D5,gold,1.45,1.87,Y,
2014,13,B1,11,1.12,1.05,Y,
2014,14,A16,2,1.25,1.41,Y,
2014,15,B13,light 4,1.22,1.31,Y,
2015,1,leaf,leaf,1.25,1.21,Y,
2015,2,cup,cup,2.42,2.59,Y,
2015,3,stick,flute,7.3,7.95,Y,
2015,4,tomato,tomato,2.8,2.73,Y,
2015,5,fan,fan,2.15,2.46,Y,
2015,6,banana,banana,0.7,0.88,Y,
2015,7,rock,rock,1.4,1.52,Y,
2015,8,comb,comb,3.9,2.76,Y,
2015,1,F1,3,2.47,2.39,Y,
2015,2,G4,10,0.87,0.65,Y,
2015,3,H7,dark 5,3.39,3.7,Y,
2015,4,H17,8,1.08,1.02,Y,
2015,5,H9,teal,3.73,3.78,Y,
2015,6,A16,2,1.08,1.05,Y,
2015,7,B1,salmon,3.58,3.47,Y,
2015,8,D5,mustard,2.77,2.88,Y,
2015,9,F9,5,2.75,3.01,Y,
2015,10,F5,dark tan,2.2,2.5,Y,
2015,11,B4,6,4.63,4.64,Y,
2015,12,F17,8,2.9,2.69,Y,
2015,13,F13,turquoise,2.28,2.19,Y,
2015,14,G14,4,3.2,3.01,Y,
2015,15,B13,light 4,1.98,2.04,Y,
2016,1,rock,stone,5.9,1.15,Y,
2016,2,cup,cup glass,3.69,4.03,Y,
2016,3,leaf,leaf,1.39,1.45,Y,
2016,4,comb,hairbrush,4.1,3.41,Y,
2016,5,fan,doesn’t know,5,3.19,Y,
2016,6,stick,bamboo stick,3.16,2,Y,
2016,7,tomato,tomato,0.91,1.02,Y,
2016,8,banana,banana,0.52,0.62,Y,
2016,1,B4,6,1.75,1.9,Y,
2016,2,F5,7,3.21,3.21,Y,
2016,3,F9,5,1.26,1.04,Y,
2016,4,D5,gold,3.1,2.95,Y,
2016,5,B1,11,1.2,0.94,Y,
2016,6,A16,2,1.12,1.13,Y,
2016,7,H9,5,1.13,1.15,Y,
2016,8,H17,8,1.04,1.07,Y,
2016,9,H7,dark 5,3.72,3.79,Y,
2016,10,G4,10,1.17,1.26,Y,
2016,11,F1,3,1.66,1.31,Y,
2016,12,B13,light 4,1.48,1.18,Y,
2016,13,G14,4,2.25,2.26,Y,
2016,14,F17,8,1.34,1.37,Y,
2016,15,F13,4,1.3,1.55,Y,
2017,1,comb,pink comb,2.34,2.74,N,
2017,2,rock,rock,1.9,2.01,N,
2017,3,leaf,leaf,1.73,1.64,N,
2017,4,stick,bamboo stick,3.95,3.62,N,
2017,5,tomato,tomato,1.38,1.5,N,
2017,6,banana,banana,1,1.01,N,
2017,7,cup,red glass,2.3,1.6,N,
2017,8,fan,ivatai?,7.43,3.8,N,
2017,1,B1,11,1.22,1.2,N,
2017,2,F13,teal,1.6,1.4,N,
2017,3,F17,8,1.85,2.16,N,
2017,4,G14,teal,1.35,1.55,N,
2017,5,H7,7,3.93,4.03,N,
2017,6,H17,8,1.96,1.69,N,
2017,7,D5,6,1.9,1.9,N,
2017,8,F9,5,1.08,1.16,N,
2017,9,F5,gold,2.13,2.08,N,
2017,10,B4,6,1.97,1.83,N,
2017,11,B13,light 4,2.17,2.2,N,
2017,12,F1,3,2.38,2.18,N,
2017,13,G4,10,2.9,2.85,N,
2017,14,H9,5,1.3,1.39,N,
2017,15,A16,2,1.52,1.28,N,
2018,1,rock,rock,6.1,2.69,Y,
2018,2,banana,banana,3.2,3.75,Y,
2018,3,fan,fan,3.35,3.33,Y,
2018,4,stick,stick,3.78,3.96,Y,
2018,5,tomato,tomato,3.3,3.43,Y,
2018,6,cup,cup,1.8,1.77,Y,
2018,7,comb,comb,2.27,2.46,Y,
2018,8,leaf,leaf,1.85,1.98,Y,
2018,1,F17,8,2.5,2.5,Y,
2018,2,F9,5,1.18,1.15,Y,
2018,3,A16,2,1.19,1.5,Y,
2018,4,H9,10,2.53,2.36,Y,
2018,5,D5,9,2.83,2.65,Y,
2018,6,B4,9,2.74,2.68,Y,
2018,7,F5,10,2.88,2.63,Y,
2018,8,B13,2,2.13,1.96,Y,
2018,9,G4,10,2.25,1.9,Y,
2018,10,F1,3,1.74,1.44,Y,
2018,11,B1,11,2.22,1.66,Y,
2018,12,F13,4,2.03,1.96,Y,
2018,13,H17,8,1.65,1.63,Y,
2018,14,G14,4,1.94,1.56,Y,
2018,15,H7,1,3.08,2.92,Y,
2019,1,cup,cup,0.85,1.6,Y,
2019,2,tomato,,1.7,1.84,Y,
2019,3,comb,comb,1.44,1.44,Y,
2019,4,rock,stone,3.08,3.25,Y,
2019,5,banana,banana,1.1,1.37,Y,
2019,6,fan,fan,2.91,3.36,Y,
2019,7,leaf,leaf,1.6,1.34,Y,
2019,8,stick,instrument,3.75,4.16,Y,
2019,1,F17,8,0.5,0.7,Y,
2019,2,G4,10,0.87,0.85,Y,
2019,3,B13,turquoise,0.47,0.62,Y,
2019,4,F5,tan,2.25,2.65,Y,
2019,5,G14,aqua,3,2.6,Y,
2019,6,H17,8,2.07,2.11,Y,
2019,7,B4,6,5.8,2.15,Y,
2019,8,D5,tan,4.17,3.89,Y,
2019,9,H9,dark 5,2.26,2.48,Y,
2019,10,A16,2,0.7,0.64,Y,
2019,11,F13,4,6.44,6.26,Y,
2019,12,B1,salmon,1.2,0.84,Y,
2019,13,F1,3,1,0.89,Y,
2019,14,H7,1,2.96,2.9,Y,
2019,15,F9,5,1.17,0.86,Y,
2020,1,banana,banana,1.78,1.95,N,
2020,2,cup,red cup,2.6,2.53,N,
2020,3,stick,bamboo,4.94,4.16,N,
2020,4,leaf,green leaf,5.6,5.27,N,
2020,5,fan,triangle,5.37,5.4,N,
2020,6,tomato,tomato,6.61,6.32,N,
2020,7,rock,rock,2.9,2.81,N,
2020,8,comb,pink comb,18.1,5.45,N,4.5
2020,1,H17,8,14,15.2,N,
2020,2,F9,5,1.34,0.91,N,
2020,3,H7,dark 5,3.1,2.8,N,
2020,4,F1,3,1.05,0.86,N,
2020,5,B1,11,1.08,1.01,N,
2020,6,F13,4,2.25,2.34,N,
2020,7,A16,2,1.03,0.8,N,
2020,8,H9,dark 5,1.9,1.28,N,
2020,9,D5,6,1.38,1.28,N,
2020,10,B4,mustar 6,4.86,4.71,N,
2020,11,G14,4,2.1,2.1,N,
2020,12,B13,light 4,2.12,1.96,N,
2020,13,F5,olive,3.8,3.33,N,
2020,14,G4,10,1.71,1.69,N,
2020,15,F17,8,1.65,1.07,N,
2021,1,banana,banana,5.2,3.55,N,
2021,2,rock,rock,1.87,1.89,N,
2021,3,leaf,leaf,1.6,1.44,N,
2021,4,fan,triangle,14.49,6.69,N,6.2
2021,5,cup,cup,0.96,1.05,N,
2021,6,tomato,tomato,1,0.95,N,
2021,7,stick,stick of wood,3,3.1,N,
2021,8,comb,comb,3.13,3.11,N,
2021,1,G4,silver,5.3,2.88,N,
2021,2,B1,11,0.91,1.07,N,
2021,3,F1,3,0.9,0.56,N,
2021,4,G14,4,0.55,0.99,N,
2021,5,H7,1,1.4,1.43,N,
2021,6,F17,8,1.35,1.26,N,
2021,7,F5,olive,1.32,1.34,N,
2021,8,B13,light 4,1,1,N,
2021,9,B4,6,0.85,0.94,N,
2021,10,D5,darker olive,2.6,2.34,N,
2021,11,H9,dark5,1.26,1.44,N,
2021,12,A16,2,0.9,0.94,N,
2021,13,F13,4,1.15,1.21,N,
2021,14,F9,5,1.26,1.05,N,
2021,15,H17,8,2.2,1.72,N,
2022,1,rock,stone,1.44,1.2,N,
2022,2,banana,banana,1.3,1.37,N,
2022,3,leaf,leaf,2.2,2.22,N,
2022,4,stick,piece of wood bamboo,4.06,3.69,N,
2022,5,fan,fan,48.33,7.91,N,6.9
2022,6,cup,cup,3.9,3.83,N,
2022,7,tomato,tomato,1.95,1.92,N,
2022,8,comb,comb,23.87,10.32,N,11.9
2022,1,F1,3,1.38,1.05,N,
2022,2,H17,8,2.4,2.1,N,
2022,3,F9,5,1.09,0.91,N,
2022,4,A16,2,1.35,0.93,N,
2022,5,H9,dark 5,2.8,2.73,N,
2022,6,D5,gold,5.7,5.62,N,
2022,7,B4,6,1.87,1.47,N,
2022,8,B13,light 4,1.52,1.4,N,
2022,9,F5,mud 5,5.05,5.16,N,
2022,10,B1,11,1.2,0.97,N,
2022,11,G4,10,1.39,1.23,N,
2022,12,H7,1,2.18,2.27,N,
2022,13,G14,4,2.38,1.87,N,
2022,14,F13,cobal,7.79,7.42,N,
2022,15,F17,8,1.53,1.45,N,
2023,1,banana,banan,3.08,0.7,N,
2023,2,cup,glass,2.95,3.11,N,
2023,3,comb,hairbrush,10.42,8.27,N,
2023,4,rock,rock,3.3,3.23,N,
2023,5,stick,wooden canvas?,4.7,4.76,N,
2023,6,fan,triangle wooden,12.79,11.09,N,
2023,7,leaf,green something,24.41,13.3,N,16.4
2023,8,tomato,tomato,0.88,0.77,N,
2023,1,F17,8,1.73,1.39,N,
2023,2,D5,gold,1.22,0.99,N,
2023,3,F13,4,2.73,3.12,N,
2023,4,G14,4,1.3,1.44,N,
2023,5,H7,dark 7,2.1,1.85,N,
2023,6,G4,10,21.78,19.4,N,
2023,7,B13,cyan,4,4.08,N,
2023,8,H17,dark 8,2.05,1.61,N,
2023,9,F9,5,1.69,1.6,N,
2023,10,H9,dark 5,2.39,2.45,N,
2023,11,A16,2,1.43,1.13,N,
2023,12,B1,11,4.07,4.04,N,
2023,13,F5,light 10,19.28,18.2,N,
2023,14,B4,6,0.73,0.92,N,
2023,15,F1,magenta,1.74,1.86,N,
2024,1,banana,banana,1.25,2.98,N,
2024,2,rock,rock,12.9,8.33,N,
2024,3,leaf,leaf,2.43,2.49,N,
2024,4,cup,glass,6.51,6.64,N,
2024,5,stick,bamboo,3.95,4.31,N,
2024,6,tomato,tomato,1.95,2.03,N,
2024,7,fan,handmade .. Triangle,26.42,6.13,N,6.7
2024,8,comb,pink thing,20.12,12.72,N,19.8
2024,1,F17,8,8.33,7.82,N,
2024,2,G4,gold,6.64,5.73,N,
2024,3,D5,lighter gold,4.65,4.44,N,
2024,4,F9,5,18.33,8.58,N,8.48
2024,5,B4,6,2.6,2.28,N,
2024,6,F5,gold,2.77,2.67,N,
2024,7,A16,2,3.9,3.31,N,
2024,8,F1,3,4.1,4.03,N,
2024,9,B1,rose,2.72,2.14,N,
2024,10,F13,light 4,3.33,3.3,N,
2024,11,H17,8,3.08,2.85,N,
2024,12,H7,1,5.1,4.96,N,
2024,13,B13,light 4,2.1,1.77,N,
2024,14,H9,dark 5,2.33,2.25,N,
2024,15,G14,4,3.11,2.99,N,
2025,1,cup,cup,5.82,5.05,N,
2025,2,tomato,tomato,2,2.03,N,
2025,3,leaf,leaf,2,2.04,N,
2025,4,stick,bamboo,4.52,4.4,N,
2025,5,banana,banana,2.81,2.2,N,
2025,6,comb,plastic,5.91,5.98,N,
2025,7,fan,fan,2.64,2.39,N,
2025,8,rock,rock,4.8,4.6,N,
2025,1,A16,2,9.01,6.05,N,
2025,2,H17,8,2.39,2.33,N,
2025,3,B1,11,2.13,2.08,N,
2025,4,F17,8,2.07,2.12,N,
2025,5,B4,6,2.18,1.53,N,
2025,6,D5,mustard,6.47,6.61,N,
2025,7,G4,10,2.26,2.42,N,
2025,8,B13,sky 4,3.04,2.78,N,
2025,9,G14,turquoise,6.42,6.41,N,
2025,10,H7,1,2.4,2.34,N,
2025,11,F1,3,3.27,2.41,N,
2025,12,F5,10,17.35,16.26,N,
2025,13,H9,forest 5,4.26,4.13,N,
2025,14,F9,kelly 5,10.18,9.25,N,
2025,15,F13,turquoise,5.05,4.86,N,
2026,1,cup,cup,0.44,0.65,Y,
2026,2,banana,banana,0.22,0.56,Y,
2026,3,stick,bamboo,1.52,1.45,Y,
2026,4,leaf,leaf,4,3.49,Y,
2026,5,tomato,tomato,0.69,0.45,Y,
2026,6,fan,fan,4.6,4.48,Y,
2026,7,comb,comb,3.31,1.41,Y,
2026,8,rock,rock,1.74,0.89,Y,
2026,1,H17,8,1.8,2.44,Y,
2026,2,F9,5,1.4,1.4,Y,
2026,3,H7,1,1.75,1.63,Y,
2026,4,H9,darker 5,2.53,1.53,Y,
2026,5,F1,3,1.9,1.18,Y,
2026,6,G4,10,1.55,1.63,Y,
2026,7,F13,turquoise,1.9,2.17,Y,
2026,8,F5,lighter 10,2,1.53,Y,
2026,9,B4,9 6,2.57,1.93,Y,
2026,10,F17,8,2.95,2.38,Y,
2026,11,A16,2,2.22,1.9,Y,
2026,12,D5,gold 6,2.86,3.4,Y,
2026,13,G14,4,1.99,1.92,Y,
2026,14,B1,11,2.3,2.1,Y,
2026,15,B13,cyan or light 4,3.14,2.44,Y,
2027,1,cup,cup,1.65,1.71,Y,
2027,2,tomato,tomato,1.44,1.43,Y,
2027,3,leaf,leaf,1.96,1.95,Y,
